time_ms,left_cmd_torque,right_cmd_torque,fl_vel,fr_vel,robot_vel
1,0,0,0,0,0
2,-0,-0,0,0,0
3,-0,-0,0,0,0
4,-0,-0,0,0,0
5,-0,-0,0,0,0
6,-0,-0,0,0,0
7,-0,-0,0,0,0
8,-0,-0,0,0,0
9,-0,-0,0,0,0
10,-0,-0,0,0,0
11,-0,-0,0,0,0
12,-0,-0,0,0,0
13,-0,-0,0,0,0
14,-0,-0,0,0,0
15,-0,-0,0,0,0
16,-0,-0.3,0,0,0
17,-0,-0.3,0,-0.00573909,0
18,-0,-0.6,0,-0.0105233,0
19,-0,-0.6,0,-0.0202491,0
20,0.3,-0.9,0,-0.0283558,0
21,0.3,-0.9,0.00573909,-0.040848,0
22,0.6,-1.2,0.0105233,-0.051259,0
23,0.6,-1.2,0.0202491,-0.0656681,0
24,0.9,-1.5,0.0283558,-0.077675,0
25,0.9,-1.5,0.040848,-0.0934095,0
26,1.2,-1.8,0.051259,-0.106519,0
27,1.2,-1.8,0.0656681,-0.123168,0
28,1.5,-2.0112,0.077675,-0.137037,0
29,1.5,-2.0112,0.0934095,-0.15262,0
30,1.8,-2.0128,0.106519,-0.1656,0
31,1.8,-2.0128,0.123168,-0.176443,0
32,2.0112,-2.0144,0.137037,-0.185475,0
33,2.0112,-2.0144,0.15262,-0.193029,0
34,2.0128,-2.016,0.1656,-0.199322,0
35,2.0128,-2.016,0.176443,-0.204594,0
36,2.0144,-2.0176,0.185475,-0.208986,0
37,2.0144,-2.0176,0.193029,-0.212675,0
38,2.016,-2.0192,0.199322,-0.215748,0
39,2.016,-2.0192,0.204594,-0.218338,0
40,2.0176,-2.0208,0.208986,-0.220495,0
41,2.0176,-2.0208,0.212675,-0.222323,0
42,2.0192,-2.0224,0.215748,-0.223845,0
43,2.0192,-2.0224,0.218338,-0.225144,0
44,2.0208,-2.024,0.220495,-0.226226,0
45,2.0208,-2.024,0.222323,-0.227157,0
46,2.0224,-2.0256,0.223845,-0.227933,0
47,2.0224,-2.0256,0.225144,-0.22861,0
48,2.024,-2.0272,0.226226,-0.229174,0
49,2.024,-2.0272,0.227157,-0.229674,0
50,2.0256,-2.0288,0.227933,-0.230091,0
51,2.0256,-2.0288,0.22861,-0.230468,0
52,2.0272,-2.0304,0.229174,-0.230782,0
53,2.0272,-2.0304,0.229674,-0.231075,0
54,2.0288,-2.032,0.230091,-0.231318,0
55,2.0288,-2.032,0.230468,-0.231552,0
56,2.0304,-2.0336,0.230782,-0.231746,0
57,2.0304,-2.0336,0.231075,-0.231938,0
58,2.032,-2.0352,0.231318,-0.232099,0
59,2.032,-2.0352,0.231552,-0.232263,0
60,2.0336,-2.0368,0.231746,-0.232399,0
61,2.0336,-2.0368,0.231938,-0.232543,0
62,2.0352,-2.0384,0.232099,-0.232664,0
63,2.0352,-2.0384,0.232263,-0.232794,0
64,2.0368,-2.04,0.232399,-0.232903,0
65,2.0368,-2.04,0.232543,-0.233024,0
66,2.0384,-2.0416,0.232664,-0.233125,0
67,2.0384,-2.0416,0.232794,-0.233239,0
68,2.04,-2.0432,0.232903,-0.233334,0
69,2.04,-2.0432,0.233024,-0.233444,0
70,2.0416,-2.0448,0.233125,-0.233536,0
71,2.0416,-2.0448,0.233239,-0.233643,0
72,2.0432,-2.0464,0.233334,-0.233731,0
73,2.0432,-2.0464,0.233444,-0.233836,0
74,2.0448,-2.048,0.233536,-0.233923,0
75,2.0448,-2.048,0.233643,-0.234026,0
76,2.0464,-2.0496,0.233731,-0.234112,0
77,2.0464,-2.0496,0.233836,-0.234214,0
78,2.048,-2.0512,0.233923,-0.234298,0
79,2.048,-2.0512,0.234026,-0.2344,0
80,2.0496,-2.0528,0.234112,-0.234484,0
81,2.0496,-2.0528,0.234214,-0.234585,0
82,2.0512,-2.0544,0.234298,-0.234668,0
83,2.0512,-2.0544,0.2344,-0.234769,0
84,2.0528,-2.056,0.234484,-0.234852,0
85,2.0528,-2.056,0.234585,-0.234952,0
86,2.0544,-2.0576,0.234668,-0.235036,0
87,2.0544,-2.0576,0.234769,-0.235135,0
88,2.056,-2.3576,0.234852,-0.235219,0
89,2.056,-2.3576,0.234952,-0.240999,0
90,2.0576,-2.6576,0.235036,-0.245813,0
91,2.0576,-2.6576,0.235135,-0.255532,0
92,2.0592,-2.9576,0.235219,-0.263625,0
93,2.0592,-2.9576,0.235318,-0.276072,0
94,2.3592,-3.2576,0.235402,-0.286436,0
95,2.3592,-3.2576,0.241182,-0.30077,0
96,2.6592,-3.5576,0.245996,-0.312704,0
97,2.6592,-3.5576,0.255714,-0.32834,0
98,2.9592,-3.8576,0.263808,-0.341356,0
99,2.9592,-3.8576,0.276255,-0.357888,0
100,3.2592,-4.1576,0.286644,-0.371674,7.47016e-05
101,3.2592,-4.1576,0.30123,-0.389073,0.000269578
102,3.5592,-4.4576,0.313886,-0.404065,0.000590543
103,3.5592,-4.4576,0.330889,-0.422998,0.00101582
104,3.8592,-4.55166,0.346059,-0.439767,0.00155568
105,3.8592,-4.55166,0.36563,-0.45675,0.00218621
106,4.1592,-4.56798,0.383374,-0.472335,0.00290733
107,4.1592,-4.56798,0.405474,-0.48725,0.00369993
108,4.4592,-4.58152,0.425666,-0.501462,0.00456403
109,4.4592,-4.58152,0.450104,-0.51549,0.00548588
110,4.6229,-4.65549,0.472521,-0.529243,0.00646914
111,4.6229,-4.65549,0.49648,-0.544292,0.00750094
112,4.63873,-4.65631,0.518733,-0.559131,0.0085823
113,4.63873,-4.65631,0.539965,-0.57391,0.00969805
114,4.65073,-4.65497,0.560119,-0.588695,0.0108381
115,4.65073,-4.65497,0.579651,-0.603508,0.0119946
116,4.72492,-4.73107,0.598472,-0.618402,0.0131621
117,4.72492,-4.73107,0.618125,-0.634822,0.0143401
118,4.72285,-4.7274,0.637097,-0.651105,0.0155345
119,4.72285,-4.7274,0.655496,-0.667237,0.0167393
120,4.70769,-4.72167,0.673477,-0.683332,0.0179496
121,4.70769,-4.72167,0.690836,-0.699299,0.0191622
122,4.78434,-4.80004,0.707965,-0.71527,0.0203737
123,4.78434,-4.80004,0.726345,-0.732719,0.0215871
124,4.76601,-4.78219,0.744333,-0.749931,0.0228112
125,4.76601,-4.78219,0.761669,-0.766632,0.0240406
126,4.74513,-4.75267,0.778817,-0.783251,0.0252701
127,4.74513,-4.75267,0.795415,-0.799246,0.026497
128,4.82463,-4.83402,0.811939,-0.815268,0.0277176
129,4.82463,-4.83402,0.829884,-0.83283,0.0289363
130,4.79141,-4.80214,0.847519,-0.850147,0.0301635
131,4.79141,-4.80214,0.864289,-0.866677,0.0313937
132,4.75614,-4.76835,0.880965,-0.883154,0.0326204
133,4.75614,-4.76835,0.896893,-0.898943,0.0338415
134,4.83902,-4.85298,0.912845,-0.914779,0.0350528
135,4.83902,-4.85298,0.930351,-0.932223,0.0362601
136,4.80135,-4.81682,0.947596,-0.949415,0.0374748
137,4.80135,-4.81682,0.96393,-0.965734,0.0386914
138,4.75226,-4.76925,0.980213,-0.982004,0.0399032
139,4.75226,-4.76925,0.995523,-0.997331,0.0411079
140,4.83881,-4.85746,1.01092,-1.01274,0.0422998
141,4.83881,-4.85746,1.02799,-1.02986,0.0434858
142,4.77805,-4.79819,1.04482,-1.04672,0.0446782
143,4.77805,-4.79819,1.06033,-1.06229,0.0458709
144,4.72559,-4.74719,1.07587,-1.07788,0.0470545
145,4.72559,-4.74719,1.09044,-1.09251,0.0482277
146,4.81628,-4.83945,1.10515,-1.10728,0.0493855
147,4.81628,-4.83945,1.12164,-1.12385,0.0505357
148,4.75225,-4.77682,1.13792,-1.14018,0.0516917
149,4.75225,-4.77682,1.15282,-1.15517,0.0528475
150,4.67757,-4.7035,1.16778,-1.17019,0.0539934
151,4.67757,-4.7035,1.18137,-1.18385,0.0551273
152,4.77282,-4.80023,1.19517,-1.19772,0.0562416
153,4.77282,-4.80023,1.21089,-1.21353,0.0573457
154,4.69666,-4.72535,1.22642,-1.22912,0.0584544
155,4.69666,-4.72535,1.24038,-1.24316,0.0595614
156,4.61983,-4.64976,1.25444,-1.25729,0.0606559
157,4.61983,-4.64976,1.26712,-1.27005,0.0617366
158,4.71983,-4.75117,1.28006,-1.28305,0.0627962
159,4.71983,-4.75117,1.29502,-1.2981,0.0638447
160,4.64166,-4.67416,1.3098,-1.31294,0.0648979
161,4.64166,-4.67416,1.32297,-1.32619,0.0659495
162,4.55345,-4.5871,1.33625,-1.33954,0.0669884
163,4.55345,-4.5871,1.34796,-1.35132,0.0680129
164,4.65839,-4.69335,1.35996,-1.36338,0.0690143
165,4.65839,-4.69335,1.3741,-1.3776,0.0700036
166,4.56915,-4.60519,1.38806,-1.39162,0.0709976
167,4.56915,-4.60519,1.40022,-1.40385,0.0719894
168,4.4703,-4.50737,1.41253,-1.41622,0.0729667
169,4.4703,-4.50737,1.42309,-1.42685,0.0739279
170,4.58049,-4.61882,1.434,-1.43782,0.0748635
171,4.58049,-4.61882,1.44718,-1.45107,0.0757855
172,4.49051,-4.52022,1.46019,-1.46414,0.0767118
173,4.49051,-4.52022,1.4714,-1.47524,0.0776356
174,4.38154,-4.42197,1.48277,-1.48651,0.0785439
175,4.38154,-4.42197,1.49221,-1.49608,0.0794353
176,4.49711,-4.53873,1.50203,-1.50599,0.0802997
177,4.49711,-4.53873,1.51424,-1.51831,0.0811502
178,4.39734,-4.43983,1.52629,-1.53045,0.0820053
179,4.39734,-4.43983,1.53636,-1.54061,0.082858
180,4.28859,-4.33195,1.54663,-1.55095,0.0836947
181,4.28859,-4.33195,1.555,-1.5594,0.0845139
182,4.40962,-4.45411,1.56376,-1.56823,0.0853054
183,4.40962,-4.45411,1.57504,-1.57958,0.0860825
184,4.31019,-4.34589,1.58615,-1.59075,0.086865
185,4.31019,-4.34589,1.59529,-1.59978,0.0876452
186,4.20202,-4.23868,1.60461,-1.60901,0.0884092
187,4.20202,-4.23868,1.61205,-1.61639,0.0891555
188,4.32838,-4.36631,1.61988,-1.62417,0.0898742
189,4.32838,-4.36631,1.63032,-1.63459,0.090579
190,4.21045,-4.25887,1.64057,-1.64482,0.0912901
191,4.21045,-4.25887,1.64849,-1.65293,0.0919994
192,4.10354,-4.14308,1.65665,-1.66124,0.0926917
193,4.10354,-4.14308,1.66299,-1.66753,0.0933657
194,4.23547,-4.27622,1.66974,-1.67425,0.0940111
195,4.23547,-4.27622,1.67921,-1.68372,0.0946423
196,4.11888,-4.16049,1.6885,-1.693,0.0952805
197,4.11888,-4.16049,1.69549,-1.70001,0.0959173
198,4.00393,-4.04637,1.70271,-1.70724,0.0965368
199,4.00393,-4.04637,1.70796,-1.71251,0.0971379
200,4.14145,-4.18504,1.71364,-1.71821,0.0977099
201,4.14145,-4.18504,1.72216,-1.72677,0.0982678
202,4.02669,-4.07107,1.7305,-1.73514,0.0988335
203,4.02669,-4.07107,1.73657,-1.74125,0.0993984
204,3.90417,-3.9589,1.74287,-1.74758,0.0999471
205,3.90417,-3.9589,1.74706,-1.75199,0.100478
206,4.04728,-4.10293,1.7517,-1.75682,0.10098
207,4.04728,-4.10293,1.7593,-1.76459,0.101468
208,3.9348,-3.9814,1.76672,-1.77214,0.101964
209,3.9348,-3.9814,1.77192,-1.7773,0.102461
210,3.81473,-3.87162,1.77734,-1.78267,0.102942
211,3.81473,-3.87162,1.7807,-1.78618,0.103405
212,3.96323,-4.02098,1.7845,-1.79011,0.10384
213,3.96323,-4.02098,1.79135,-1.79709,0.104262
214,3.84367,-3.90187,1.798,-1.80384,0.104694
215,3.84367,-3.90187,1.80228,-1.80822,0.105127
216,3.73604,-3.78508,1.8068,-1.81282,0.105545
217,3.73604,-3.78508,1.8095,-1.81541,0.105945
218,3.88972,-3.93978,1.81261,-1.81843,0.106318
219,3.88972,-3.93978,1.81885,-1.82462,0.106678
220,3.77284,-3.82347,1.82485,-1.83057,0.10705
221,3.77284,-3.82347,1.82852,-1.83421,0.107425
222,3.64885,-3.7096,1.83239,-1.83806,0.107784
223,3.64885,-3.7096,1.83412,-1.83996,0.108128
224,3.80787,-3.86941,1.83631,-1.84229,0.108443
225,3.80787,-3.86941,1.84174,-1.84785,0.108747
226,3.69418,-3.74647,1.84694,-1.85316,0.109062
227,3.69418,-3.74647,1.84988,-1.85603,0.109381
228,3.58305,-3.63586,1.85303,-1.8591,0.109685
229,3.58305,-3.63586,1.85427,-1.8603,0.109973
230,3.74699,-3.80075,1.85592,-1.86191,0.110235
231,3.74699,-3.80075,1.86089,-1.86686,0.110486
232,3.62683,-3.68105,1.86558,-1.87155,0.110751
233,3.62683,-3.68105,1.86787,-1.87384,0.11102
234,3.5191,-3.57379,1.87037,-1.87633,0.111275
235,3.5191,-3.57379,1.87102,-1.87699,0.111516
236,3.68792,-3.74351,1.87208,-1.87806,0.111731
237,3.68792,-3.74351,1.87654,-1.88253,0.111936
238,3.57112,-3.62715,1.88071,-1.88673,0.112156
239,3.57112,-3.62715,1.88253,-1.88857,0.112382
240,3.46681,-3.52328,1.88454,-1.89059,0.112595
241,3.46681,-3.52328,1.88476,-1.89084,0.112795
242,3.64028,-3.69761,1.88536,-1.89147,0.11297
243,3.64028,-3.69761,1.88944,-1.89557,0.113137
244,3.52686,-3.5846,1.89321,-1.89937,0.113321
245,3.52686,-3.5846,1.89468,-1.90087,0.11351
246,3.4164,-3.47453,1.89632,-1.90253,0.11369
247,3.4164,-3.47453,1.89604,-1.90229,0.113855
248,3.59447,-3.65344,1.89616,-1.90243,0.113997
249,3.59447,-3.65344,1.89984,-1.90614,0.11413
250,3.4942,-3.54394,1.90321,-1.90954,0.114281
251,3.4942,-3.54394,1.90451,-1.9107,0.114438
252,3.38712,-3.4374,1.90594,-1.912,0.114587
253,3.38712,-3.4374,1.90548,-1.91146,0.114724
254,3.56938,-3.62065,1.90539,-1.91129,0.114838
255,3.56938,-3.62065,1.90891,-1.91477,0.114945
256,3.46285,-3.52421,1.91209,-1.91791,0.115071
257,3.46285,-3.52421,1.91307,-1.91904,0.115206
258,3.35928,-3.42096,1.91417,-1.92027,0.115333
259,3.35928,-3.42096,1.91347,-1.91968,0.115449
260,3.54569,-3.60814,1.91312,-1.91943,0.115544
261,3.54569,-3.60814,1.91646,-1.92286,0.115632
262,3.44256,-3.50532,1.91946,-1.92593,0.115742
263,3.44256,-3.50532,1.9203,-1.92684,0.11586
264,3.34238,-3.40542,1.92126,-1.92786,0.115972
265,3.34238,-3.40542,1.92046,-1.92712,0.116073
266,3.53273,-3.59651,1.92001,-1.92671,0.116153
